"Date","Price","Open","High","Low","Vol.","Change %"
"02-03-2016","589.9","591.6","603.9","588.7","37.54K","-0.29%"
"01-03-2016","591.6","582.0","592.8","580.2","23.52K","2.09%"
"29-02-2016","579.5","577.0","581.4","575.0","15.14K","-0.55%"
"26-02-2016","582.7","576.6","588.9","576.6","26.27K","1.71%"
"25-02-2016","572.9","588.5","590.0","571.6","27.96K","-3.23%"
"24-02-2016","592.0","589.1","593.4","580.9","27.36K","-0.07%"
"23-02-2016","592.4","594.5","600.8","588.6","27.41K","-1.12%"
"22-02-2016","599.1","588.9","602.6","587.3","31.42K","1.17%"
"19-02-2016","592.2","574.5","594.0","574.1","26.95K","3.42%"
"18-02-2016","572.6","574.0","575.0","568.8","20.34K","-0.66%"
"17-02-2016","576.4","570.1","579.8","565.4","24.50K","0.75%"
"16-02-2016","572.1","566.0","573.4","563.2","30.39K","1.36%"
"15-02-2016","564.4","542.0","565.9","542.0","41.88K","5.67%"
"12-02-2016","534.1","524.9","536.4","524.9","31.82K","2.20%"
"11-02-2016","522.6","542.4","543.4","520.5","40.55K","-3.60%"
"10-02-2016","542.1","551.8","556.5","539.2","39.47K","-1.78%"
"09-02-2016","551.9","565.0","569.3","550.7","33.04K","-2.08%"
"08-02-2016","563.6","556.1","566.7","550.2","35.92K","1.46%"
"05-02-2016","555.5","579.0","582.2","547.4","42.74K","-4.22%"
"04-02-2016","580.0","585.0","588.0","575.9","28.03K","-0.31%"
"03-02-2016","581.8","577.9","583.8","577.3","27.02K","1.59%"
"02-02-2016","572.7","582.9","588.0","572.1","29.24K","-1.36%"
"01-02-2016","580.6","587.1","587.1","575.0","27.66K","0.22%"
"29-01-2016","579.3","583.0","584.3","577.2","18.27K","-0.60%"
"28-01-2016","582.8","587.3","590.6","582.0","22.82K","-0.93%"
"27-01-2016","588.3","586.2","595.0","585.3","31.90K","1.82%"
"25-01-2016","577.8","582.5","586.7","577.0","22.75K","-0.87%"
"22-01-2016","582.9","587.9","599.5","581.7","32.89K","-1.57%"
"21-01-2016","592.2","585.4","594.8","575.2","25.64K","1.84%"
"20-01-2016","581.5","580.0","587.2","576.4","27.53K","0.02%"
"19-01-2016","581.4","578.4","591.7","577.9","34.90K","0.43%"
"18-01-2016","578.9","580.0","585.5","576.2","29.98K","1.19%"
"15-01-2016","572.1","577.0","578.0","567.1","34.06K","-1.26%"
"14-01-2016","579.4","560.0","582.9","560.0","39.16K","4.47%"
"13-01-2016","554.6","548.3","559.5","548.3","31.24K","1.63%"
"12-01-2016","545.7","554.0","556.8","544.2","31.73K","-1.18%"
"11-01-2016","552.2","564.6","564.6","551.3","33.50K","-3.09%"
"08-01-2016","569.8","559.8","573.6","559.7","33.89K","1.23%"
"07-01-2016","562.9","575.0","575.0","551.4","44.76K","-2.51%"
"06-01-2016","577.4","570.9","578.6","567.0","34.44K","1.37%"
"05-01-2016","569.6","571.0","578.3","568.8","29.21K","-0.26%"
"04-01-2016","571.1","582.2","582.2","567.5","44.30K","-2.46%"
"01-01-2016","585.5","581.8","588.3","581.3","5.86K","1.68%"
"31-12-2015","575.8","576.1","581.7","573.1","23.62K","0.19%"
"30-12-2015","574.7","575.3","578.7","570.6","29.71K","-0.17%"
"29-12-2015","575.7","563.6","579.7","562.2","45.13K","2.51%"
"28-12-2015","561.6","566.2","567.0","558.8","18.23K","-0.99%"
"24-12-2015","567.2","571.0","571.0","565.3","16.71K","-0.51%"
"23-12-2015","570.1","574.5","577.0","568.2","35.99K","-0.37%"
"22-12-2015","572.2","582.3","587.0","571.5","29.50K","-2.32%"
"21-12-2015","585.8","579.0","590.5","576.5","34.50K","0.84%"
"18-12-2015","580.9","577.9","586.0","575.8","33.33K","1.11%"
"17-12-2015","574.5","584.5","584.5","571.5","29.74K","-2.13%"
"16-12-2015","587.0","578.8","592.9","577.8","39.25K","2.50%"
"15-12-2015","572.7","587.9","588.9","571.8","34.09K","-3.37%"
"14-12-2015","592.7","590.0","593.7","578.3","28.73K","0.61%"
"11-12-2015","589.1","576.6","591.9","575.4","41.15K","2.94%"
"10-12-2015","572.3","582.0","583.7","570.9","37.62K","-1.85%"
"09-12-2015","583.1","582.2","593.2","579.5","37.13K","0.43%"
"08-12-2015","580.6","585.5","588.6","573.0","36.84K","-1.11%"
"07-12-2015","587.1","604.0","610.5","586.0","32.94K","-2.41%"
"04-12-2015","601.6","594.6","613.8","592.3","45.43K","1.09%"
"03-12-2015","595.1","594.0","596.4","581.1","39.03K","-0.13%"
"02-12-2015","595.9","604.0","608.9","594.4","37.38K","-1.13%"
"01-12-2015","602.7","596.2","603.7","588.5","35.00K","2.83%"
"30-11-2015","586.1","580.1","590.8","578.8","23.54K","0.10%"
"27-11-2015","585.5","604.3","606.2","578.6","49.76K","-3.70%"
"26-11-2015","608.0","596.0","618.5","596.0","49.12K","2.69%"
"25-11-2015","592.1","581.4","595.8","572.5","30.02K","1.39%"
"24-11-2015","584.0","550.5","588.7","549.4","64.08K","6.34%"
"23-11-2015","549.2","552.1","559.4","542.4","48.04K","-4.39%"
"20-11-2015","574.4","588.5","598.4","572.1","57.12K","-3.07%"
"19-11-2015","592.6","595.9","600.4","588.7","34.25K","-0.74%"
"18-11-2015","597.0","603.4","609.7","595.4","34.95K","-0.93%"
"17-11-2015","602.6","615.0","617.2","601.6","33.72K","-2.13%"
"16-11-2015","615.7","626.3","629.8","614.4","24.92K","-1.68%"
"13-11-2015","626.2","625.4","630.8","621.2","22.43K","0.50%"
"12-11-2015","623.1","631.0","635.5","622.1","18.01K","-0.97%"
"11-11-2015","629.2","629.8","631.2","627.5","4.30K","-0.93%"
"10-11-2015","635.1","637.0","642.9","629.3","31.50K","-0.52%"
"09-11-2015","638.4","645.2","647.0","637.5","22.66K","-0.50%"
"06-11-2015","641.6","647.5","650.8","640.1","29.05K","-1.19%"
"05-11-2015","649.3","651.4","653.9","639.3","38.00K","-0.37%"
"04-11-2015","651.7","660.3","664.0","649.3","36.69K","-0.59%"
"03-11-2015","655.6","668.5","670.6","654.5","34.70K","-1.89%"
"02-11-2015","668.2","665.0","669.7","662.0","23.78K","1.17%"
"30-10-2015","660.5","675.0","675.0","656.5","20.40K","-2.15%"
"29-10-2015","675.0","681.8","687.0","673.8","25.42K","-1.16%"
"28-10-2015","682.9","684.3","687.5","676.0","27.16K","-0.47%"
"27-10-2015","686.1","677.5","688.4","675.2","22.12K","0.97%"
"26-10-2015","679.5","682.6","686.0","675.1","23.30K","-0.38%"
"23-10-2015","682.1","674.7","691.1","672.6","36.61K","1.28%"
"22-10-2015","673.5","679.5","682.5","672.6","12.62K","-0.07%"
"21-10-2015","674.0","676.3","678.6","667.5","26.11K","-0.68%"
"20-10-2015","678.6","671.5","679.6","668.0","27.55K","0.80%"
"19-10-2015","673.2","684.0","684.0","670.0","27.09K","-1.67%"
"16-10-2015","684.6","686.4","691.3","682.7","20.90K","0.06%"
"15-10-2015","684.2","684.2","692.5","680.7","31.83K","0.40%"
"14-10-2015","681.5","682.9","686.4","676.2","27.13K","0.12%"
"13-10-2015","680.7","680.0","691.4","677.5","31.64K","-0.31%"
"12-10-2015","682.8","684.9","697.2","680.0","39.60K","-0.10%"
"09-10-2015","683.5","668.0","699.9","668.0","73.34K","3.09%"
"08-10-2015","663.0","660.5","665.5","658.2","29.39K","-0.02%"
"07-10-2015","663.1","652.0","670.7","652.0","41.04K","1.89%"
"06-10-2015","650.8","651.6","656.8","645.3","33.57K","0.42%"
"05-10-2015","648.1","672.0","672.2","646.2","47.20K","-2.57%"
"01-10-2015","665.2","683.0","696.9","662.1","57.40K","0.33%"
"30-09-2015","663.0","649.7","668.6","647.6","26.13K","2.06%"
"29-09-2015","649.6","646.0","653.0","638.6","30.60K","0.23%"
"28-09-2015","648.1","656.7","662.0","646.4","29.52K","-1.38%"
"25-09-2015","657.2","652.0","659.0","650.2","16.95K","0.18%"
"24-09-2015","656.0","645.1","658.4","642.2","34.97K","1.67%"
"23-09-2015","645.2","639.4","651.0","637.7","33.60K","1.64%"
"22-09-2015","634.8","644.4","647.9","633.5","39.03K","-1.84%"
"21-09-2015","646.7","644.4","653.9","641.7","41.45K","0.95%"
"18-09-2015","640.6","661.8","661.8","639.0","47.06K","-2.67%"
"17-09-2015","658.2","666.0","666.8","657.0","21.51K","-1.48%"
"16-09-2015","668.1","668.0","683.8","662.2","49.07K","-0.19%"
"15-09-2015","669.4","660.9","670.9","650.5","39.83K","1.70%"
"14-09-2015","658.2","684.0","684.0","656.1","37.37K","-3.88%"
"11-09-2015","684.8","692.0","693.5","681.0","32.01K","-1.20%"
"10-09-2015","693.1","664.6","699.2","664.6","53.07K","3.76%"
"09-09-2015","668.0","671.3","677.0","664.7","37.13K","-0.12%"
"08-09-2015","668.8","652.7","671.0","646.6","39.28K","2.48%"
"07-09-2015","652.6","663.1","667.5","651.7","25.61K","-1.43%"
"04-09-2015","662.1","660.1","664.9","652.0","31.00K","0.12%"
"03-09-2015","661.3","657.3","674.4","657.3","38.32K","0.55%"
"02-09-2015","657.7","654.1","663.2","651.7","31.81K","1.06%"
"01-09-2015","650.8","661.5","662.0","650.0","41.77K","-3.07%"
"31-08-2015","671.4","668.0","671.4","660.7","17.84K","2.72%"
"28-08-2015","653.6","663.9","666.7","642.6","27.95K","-0.97%"
"27-08-2015","660.0","634.6","664.0","632.8","43.53K","4.76%"
"26-08-2015","630.0","633.8","639.7","621.1","42.12K","-0.72%"
"25-08-2015","634.6","639.7","644.0","621.6","50.97K","-0.80%"
"24-08-2015","639.7","666.0","666.0","618.4","71.74K","-5.13%"
"21-08-2015","674.3","679.3","683.5","661.0","38.00K","-0.58%"
"20-08-2015","678.2","677.4","690.8","675.1","37.20K","-0.22%"
"19-08-2015","679.7","681.3","685.4","676.0","29.80K","-0.01%"
"18-08-2015","679.8","694.8","695.8","676.7","35.13K","-2.38%"
"17-08-2015","696.4","694.0","699.7","691.8","26.78K","0.51%"
"14-08-2015","692.9","688.3","694.6","684.2","26.40K","1.36%"
"13-08-2015","683.6","690.1","699.4","682.0","38.57K","-1.23%"
"12-08-2015","692.1","692.0","697.9","670.9","66.78K","0.17%"
"11-08-2015","690.9","713.0","713.4","688.6","51.11K","-3.48%"
"10-08-2015","715.8","695.1","718.8","691.9","39.31K","3.29%"
"07-08-2015","693.0","692.4","702.9","688.7","35.36K","-0.16%"
"06-08-2015","694.1","694.8","702.5","692.3","30.20K","0.26%"
"05-08-2015","692.3","695.0","703.5","691.4","35.48K","-0.55%"
"04-08-2015","696.1","692.8","704.0","691.2","33.00K","0.32%"
"03-08-2015","693.9","708.1","708.1","686.0","47.36K","-0.06%"
"31-07-2015","694.3","705.0","710.4","690.0","32.77K","-1.15%"
"30-07-2015","702.4","717.2","719.0","700.2","37.48K","-1.87%"
"29-07-2015","715.8","719.2","725.0","710.1","36.58K","-0.32%"
"28-07-2015","718.1","709.0","722.4","709.0","37.25K","2.00%"
"27-07-2015","704.0","724.9","724.9","698.6","44.37K","-3.12%"
"24-07-2015","726.7","722.5","730.0","715.6","33.09K","-0.04%"
"23-07-2015","727.0","728.5","732.3","721.0","38.13K","-0.26%"
"22-07-2015","728.9","736.1","740.7","727.6","39.99K","-1.47%"
"21-07-2015","739.8","744.0","761.5","738.5","42.21K","-0.70%"
"20-07-2015","745.0","728.2","747.8","723.5","37.13K","2.34%"
"17-07-2015","728.0","732.7","736.9","725.2","30.89K","-1.10%"
"16-07-2015","736.1","729.0","742.4","727.2","35.90K","0.92%"
"15-07-2015","729.4","740.0","753.8","728.1","55.08K","-1.02%"
"14-07-2015","736.9","735.0","739.9","725.8","39.32K","-0.20%"
"13-07-2015","738.4","706.1","744.0","694.6","75.28K","3.55%"
"10-07-2015","713.1","733.3","739.2","711.3","49.26K","-2.15%"
"09-07-2015","728.8","700.0","734.2","700.0","72.29K","4.44%"
"08-07-2015","697.8","696.4","708.0","666.8","101.64K","0.85%"
"07-07-2015","691.9","737.7","742.8","673.8","102.12K","-6.55%"
"06-07-2015","740.4","760.0","760.0","736.0","52.04K","-2.82%"
"03-07-2015","761.9","772.1","776.0","760.3","39.98K","-1.70%"
"02-07-2015","775.1","773.1","781.9","769.0","42.32K","0.94%"
"01-07-2015","767.9","765.6","774.7","757.0","53.54K","3.42%"
"30-06-2015","742.5","729.4","750.3","710.6","45.93K","-0.89%"
"29-06-2015","749.2","788.0","788.0","744.3","61.54K","-5.21%"
"26-06-2015","790.4","805.5","807.3","788.8","31.91K","-2.12%"
"25-06-2015","807.5","812.7","813.5","799.2","30.50K","-0.23%"
"24-06-2015","809.4","816.5","824.0","808.1","34.60K","-0.91%"
"23-06-2015","816.8","795.0","818.9","795.0","37.66K","3.24%"
"22-06-2015","791.2","806.0","808.4","789.2","32.43K","-1.52%"
"19-06-2015","803.4","812.5","813.7","801.0","25.97K","-0.78%"
"18-06-2015","809.7","824.5","827.4","808.1","33.31K","-1.72%"
"17-06-2015","823.9","817.5","828.9","813.0","33.49K","0.96%"
"16-06-2015","816.1","829.1","831.8","815.1","34.65K","-1.71%"
"15-06-2015","830.3","840.0","840.0","821.6","28.97K","-1.46%"
"12-06-2015","842.6","848.2","848.2","830.2","32.69K","-1.20%"
"11-06-2015","852.8","864.0","866.9","848.7","32.21K","-1.40%"
